formation info;type formation info;formation magist ere;Class Code;temps rencontre;capacit e r esolution pb;insertion pro;citoyen num erique;Cet enseignement fait partie des mission;Cet enseignement est utile aux apprentis;facilit e mise en oeuvre;objectifs faciles; a l aise avec les connaissances;enseignement code;d ecision enseignement;coll egues enseignent code;mat eriel pour enseigner;utilisation REL;forum;suivi formation en ligne;suivi MOOC;domaines MOOC;raison non inscription MOOC;ecriture prog;definition pens ee info;prog affichage;prog tri;d eplacement robot;usages num erique;mettre en ligne;niveau classe;ann ees exp;d epartement;genre;option info;bac;DATE_SAISIE;NUMERO
Non;;;;;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot oui;Assez souvent;Occasionnellement;Oui;Non;;Ils ne correspondent pas  a votre mani ere d apprendre;Oui le plus long programme comportait moins de 50 lignes;Non;Non;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;"CM1;CM2";14;44;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);15/06/2017 12:53;164
Non;;;;;Pas d accord du tout;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Pas d accord du tout;Pas d accord du tout;Plutot pas d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Assez souvent;Occasionnellement;Oui;Non;;Les sujets ne vous int eressent pas;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"CM1;CM2";22;44;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);15/06/2017 13:22;165
Non;;;;;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Oui;Plutot non;Assez souvent;Jamais;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";;CE2;15;85;une femme;Oui;Baccalaur eat g en eral S (anciennement C D ou E);15/06/2017 13:49;166
Oui durant ma formation initiale;formation en pr esentiel;Non il n en n existe pas dans mon d epartement;;;Plutot d accord;Plutot d accord;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot pas d accord;Plutot pas d accord;Plutot d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Oui;Plutot non;Assez souvent;Jamais;Non;;;;Oui le plus long programme comportait moins de 50 lignes;Oui;Oui;Oui;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;"Petite section;Moyenne section";2;53;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);15/06/2017 14:09;167
Oui en dehors de ma formation initiale;formation avec des amis coll egues;Non mais il en existe dans mon d epartement;;;Plutot pas d accord;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Oui avant la rentr ee 2016;de vous-m eme;;Tout  a fait;Assez souvent;Jamais;Non;;;;Oui le plus long programme comportait moins de 50 lignes;Oui;Oui;Oui;Non;"Ecouter/t el echarger de la musique;Regarder des vid eos";;CM2;2;44;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);15/06/2017 14:13;168
Non;;;;;Plutot d accord;Plutot d accord;Plutot d accord;Pas d accord du tout;Pas d accord du tout;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Assez souvent;Rarement;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CE1;CE2";13;44;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);15/06/2017 14:32;169
Non;;;;;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Tout  a fait d accord;Oui avant la rentr ee 2016;de vous-m eme;Non;Plutot oui;Syst ematiquement;Rarement;Oui;Non;;Vous ne connaissez pas;Oui le plus long programme comportait plus de 500 lignes;Oui;Oui;Oui;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"CM1;CM2";26;85;un homme;Oui;Baccalaur eat g en eral S (anciennement C D ou E);15/06/2017 15:09;170
Non;;;;;Plutot pas d accord;Pas d accord du tout;Plutot d accord;Pas d accord du tout;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Occasionnellement;Rarement;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CE1;CM1;CE2;CM2";3;44;une femme;Non;Baccalaur eat g en eral ES (anciennement B);15/06/2017 15:59;171
Non;;;;;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Pas d accord du tout;Plutot pas d accord;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Assez souvent;Rarement;Oui;Oui;Lettres langues sciences humaines et sociales;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;"Grande section;CP;CE2";1;53;une femme;Non;Baccalaur eat g en eral ES (anciennement B);15/06/2017 16:56;172
Non;;;;;Plutot pas d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Assez souvent;Jamais;Oui;Non;;Vous ne connaissez pas;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CE1;CE2";14;44;une femme;Oui;Baccalaur eat g en eral S (anciennement C D ou E);15/06/2017 17:00;173
Non;;;;;Plutot pas d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Oui depuis la rentr ee 2016;de vous-m eme;Non;Plutot oui;Assez souvent;Occasionnellement;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;"CM1;CM2";3;85;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);15/06/2017 18:21;174
Non;;;;;Plutot d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;;Plutot non;Assez souvent;Assez souvent;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;CM1;25;85;une femme;Non;Baccalaur eat technologique;15/06/2017 18:27;175
Non;;;;;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Oui depuis la rentr ee 2016;de vous-m eme;Oui;Plutot oui;Syst ematiquement;Tr es souvent;Oui;Non;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.);"CM1;CM2";18;85;une femme;Non;Baccalaur eat g en eral ES (anciennement B);15/06/2017 18:24;176
Oui en dehors de ma formation initiale;formation en ligne (hors MOOC);Oui;;;Plutot d accord;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;;Plutot d accord;Plutot pas d accord;Oui depuis la rentr ee 2016; a la suite d une sollicitation institutionnelle;Oui;Tout  a fait;Assez souvent;Occasionnellement;Oui;Vous ne connaissez pas;;;Vous n avez fait que de la programmation en blocs;Non;Non;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);CE1;34;44;une femme;Non;Baccalaur eat g en eral ES (anciennement B);15/06/2017 18:38;177
Non;;;;;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Pas d accord du tout;Plutot pas d accord;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Occasionnellement;Occasionnellement;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;CM1;10;44;un homme;Non;Baccalaur eat g en eral ES (anciennement B);15/06/2017 20:28;178
Non;;;;;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Syst ematiquement;Rarement;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"Grande section;CM1;Moyenne section;CP;CM2";1;44;une femme;Non;Baccalaur eat g en eral ES (anciennement B);15/06/2017 20:38;179
Non;;;;;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Oui;Plutot non;Jamais;Jamais;Non;;;;Oui le plus long programme comportait moins de 50 lignes;Oui;Oui;;;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"Petite section;Moyenne section";25;44;une femme;Oui;Baccalaur eat g en eral S (anciennement C D ou E);15/06/2017 21:15;180
Non;;;;;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Oui avant la rentr ee 2016;de vous-m eme;Non;Pas du tout;Syst ematiquement;Jamais;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CM1;CE2;CM2";3;44;une femme;Oui;Baccalaur eat g en eral ES (anciennement B);15/06/2017 22:24;181
Non;;;;;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Pas encore mais j ai l intention de le faire; a la suite d une sollicitation institutionnelle;Non;Plutot non;Assez souvent;Rarement;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;CM2;11;44;une femme;Oui;Baccalaur eat g en eral S (anciennement C D ou E);15/06/2017 22:58;182
Non;;;;;Plutot d accord;Plutot d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Oui avant la rentr ee 2016; a la suite d une sollicitation institutionnelle;Oui;Plutot non;Syst ematiquement;Occasionnellement;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;"CE1;CM1";10;44;une femme;Non;Baccalaur eat g en eral L (anciennement A);16/06/2017 09:15;183
"Oui en dehors de ma formation initiale;Non";;Non il n en n existe pas dans mon d epartement;;;Tout  a fait d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Tout  a fait d accord;Oui depuis la rentr ee 2016; a la suite d une r eflexion collective;Non;Plutot oui;Assez souvent;Occasionnellement;Oui;Vous ne connaissez pas;;;Oui le plus long programme comportait plus de 500 lignes;Oui;Oui;Oui;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;"CM1;CE2;CM2";10;85;;Oui;Baccalaur eat g en eral S (anciennement C D ou E);16/06/2017 10:13;185
Oui en dehors de ma formation initiale;"formation avec des amis coll egues;formation en pr esentiel";Non il n en n existe pas dans mon d epartement;;;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Oui depuis la rentr ee 2016; a la suite d une r eflexion collective;Oui;Tout  a fait;Assez souvent;Assez souvent;Non;;;;Vous n avez fait que de la programmation en blocs;Non;Oui;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);CM1;12;44;une femme;Non;Baccalaur eat g en eral ES (anciennement B);16/06/2017 10:56;186
Non;;;;;Pas d accord du tout;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Oui avant la rentr ee 2016;;Oui;Pas du tout;Assez souvent;Jamais;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique";;"CE1;CP";40;44;un homme;Non;Baccalaur eat g en eral S (anciennement C D ou E);16/06/2017 13:07;187
Non;;;;;Tout  a fait d accord;Plutot d accord;Tout  a fait d accord;Plutot d accord;Tout  a fait d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot oui;Assez souvent;Jamais;Oui;Vous ne connaissez pas;;;Oui le plus long programme comportait moins de 50 lignes;Oui;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;"CM1;CM2";12;85;une femme;Non;Baccalaur eat g en eral ES (anciennement B);16/06/2017 13:31;188
Oui en dehors de ma formation initiale;formation en pr esentiel;Non il n en n existe pas dans mon d epartement;;;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Plutot d accord;Pas d accord du tout;Oui depuis la rentr ee 2016; a la suite d une r eflexion collective;Oui;Plutot non;Occasionnellement;Rarement;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"CE1;CP;CE2";10;85;une femme;Non;Baccalaur eat g en eral ES (anciennement B);16/06/2017 20:02;189
Non;;;;;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Pas d accord du tout;Plutot pas d accord;Plutot d accord;Oui avant la rentr ee 2016;de vous-m eme;Oui;Pas du tout;Occasionnellement;Rarement;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Oui;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";"Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)";"CM1;CM2";6;44;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);16/06/2017 22:02;190
Non;;;;;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot oui;Occasionnellement;Jamais;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"CM1;CE2;CM2";15;72;un homme;Non;Baccalaur eat g en eral L (anciennement A);16/06/2017 23:13;191
Non;;;;;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Pas d accord du tout;Pas d accord du tout;Plutot d accord;Oui avant la rentr ee 2016;"de vous-m eme; a la suite d une r eflexion collective; a la suite d une sollicitation institutionnelle";Oui;Plutot oui;Occasionnellement;Jamais;Oui;Oui;"Enseignement;Sciences et technologies";;Oui le plus long programme comportait entre 50 et 500 lignes;Oui;Oui;Oui;Oui;;;"CM1;CE2";27;85;une femme;Oui;Baccalaur eat professionnel;17/06/2017 08:47;192
Non;;;;;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Oui depuis la rentr ee 2016; a la suite d une r eflexion collective;Oui;Tout  a fait;Occasionnellement;Occasionnellement;Oui;Oui;"Lettres langues sciences humaines et sociales;Enseignement";;Vous n avez fait que de la programmation en blocs;Oui;Oui;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;CM2;19;85;un homme;Non;Baccalaur eat g en eral ES (anciennement B);17/06/2017 20:20;193
Non;;;;;Pas d accord du tout;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Occasionnellement;Jamais;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;;;CM1;22;44;un homme;Non;Baccalaur eat g en eral ES (anciennement B);18/06/2017 13:15;194
Oui en dehors de ma formation initiale;formation avec des amis coll egues;Non mais il en existe dans mon d epartement;;;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Oui avant la rentr ee 2016; a la suite d une sollicitation institutionnelle;Oui;Plutot non;Jamais;Jamais;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"Petite section;Moyenne section";21;44;une femme;Non;Baccalaur eat g en eral L (anciennement A);18/06/2017 15:59;195
Non;;;;;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Assez souvent;Tr es souvent;Oui;Oui;Autre;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"Petite section;CE2";4;44;une femme;Non;Baccalaur eat g en eral ES (anciennement B);19/06/2017 08:03;196
Non;;;;;Pas d accord du tout;Plutot d accord;Plutot d accord;Tout  a fait d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Pas encore mais j ai l intention de le faire;;Non;Plutot oui;Assez souvent;Occasionnellement;Oui;Vous ne connaissez pas;;;Oui le plus long programme comportait moins de 50 lignes;Non;Oui;;;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"CE1;CP";19;72;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);19/06/2017 15:43;197
Non;;;;;Pas d accord du tout;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Tout  a fait d accord;Pas encore mais j ai l intention de le faire;;Non;Plutot non;Assez souvent;Jamais;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CE1;CE2";17;44;une femme;Non;Baccalaur eat technologique;19/06/2017 15:45;198
Oui durant ma formation initiale;formation en pr esentiel;Non il n en n existe pas dans mon d epartement;;;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Oui depuis la rentr ee 2016; a la suite d une r eflexion collective;Oui;Tout  a fait;Assez souvent;Assez souvent;Oui;Non;;;Oui le plus long programme comportait plus de 500 lignes;;Oui;Oui;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"Petite section;Grande section;Moyenne section";4;16;;Oui;Baccalaur eat g en eral S (anciennement C D ou E);20/06/2017 10:22;199
Non;;;;;Plutot d accord;Pas d accord du tout;Plutot d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Plutot pas d accord;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Rarement;Rarement;Oui;Non;;Vous ne connaissez pas;Oui le plus long programme comportait entre 50 et 500 lignes;Oui;Oui;Oui;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.);CE1;40;17;un homme;Non;Baccalaur eat g en eral S (anciennement C D ou E);20/06/2017 10:53;200
Non;;;;;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Oui depuis la rentr ee 2016; a la suite d une sollicitation institutionnelle;Non;Plutot non;Assez souvent;Assez souvent;Non;;;;Vous n avez fait que de la programmation en blocs;Non;Non;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;CM1;32;17;un homme;Non;Baccalaur eat g en eral S (anciennement C D ou E);20/06/2017 10:53;201
Non;;;;;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Jamais;;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Participation  a des r eseaux sociaux";Rien de tout cela;"Petite section;Grande section;Moyenne section";20;17;une femme;Non;Baccalaur eat g en eral ES (anciennement B);20/06/2017 11:04;202
Non;;;;;Tout  a fait d accord;Plutot d accord;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Oui depuis la rentr ee 2016;de vous-m eme;Oui;Plutot oui;Occasionnellement;Occasionnellement;Non;;;;Oui le plus long programme comportait moins de 50 lignes;Non;Non;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"Petite section;Moyenne section";34;16;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);20/06/2017 11:07;203
Oui en dehors de ma formation initiale;formation en pr esentiel;Non il n en n existe pas dans mon d epartement;;;Plutot d accord;Pas d accord du tout;Pas d accord du tout;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Assez souvent;Jamais;Non;;;;Oui le plus long programme comportait entre 50 et 500 lignes;Non;Oui;Oui;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;CM2;40;17;un homme;Non;Baccalaur eat g en eral ES (anciennement B);20/06/2017 11:15;204
Non;;;;;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Oui depuis la rentr ee 2016; a la suite d une sollicitation institutionnelle;Non;Plutot oui;Syst ematiquement;Occasionnellement;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;Grande section;25;85;une femme;Non;Baccalaur eat technologique;20/06/2017 12:01;205
Non;;;;;Plutot d accord;Tout  a fait d accord;Plutot pas d accord;Pas d accord du tout;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Assez souvent;Occasionnellement;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"Petite section;Moyenne section";6;17;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);20/06/2017 12:00;206
Non;;;;;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Oui depuis la rentr ee 2016;"de vous-m eme; a la suite d une r eflexion collective; a la suite d une sollicitation institutionnelle";Non;Plutot oui;Occasionnellement;Jamais;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"CM1;CE2";8;17;une femme;Non;Baccalaur eat g en eral ES (anciennement B);20/06/2017 12:15;207
Non;;;;;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Pas encore mais j ai l intention de le faire;;Non;Plutot oui;Occasionnellement;Jamais;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;Regarder des vid eos;;Petite section;35;17;une femme;Non;Baccalaur eat g en eral L (anciennement A);20/06/2017 12:24;209
Non;;;;;Plutot pas d accord;Pas d accord du tout;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Pas encore mais j ai l intention de le faire;de vous-m eme;Non;Plutot non;Assez souvent;Occasionnellement;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CM1;CM2";10;16;une femme;Non;Baccalaur eat g en eral ES (anciennement B);20/06/2017 12:31;210
Non;;;;;Plutot pas d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Oui depuis la rentr ee 2016;de vous-m eme;Oui;Plutot oui;Assez souvent;Assez souvent;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;CM1;6;44;une femme;Oui;Baccalaur eat g en eral S (anciennement C D ou E);20/06/2017 12:36;211
