formation info;type formation info;formation magist ere;Class Code;temps rencontre;capacit e r esolution pb;insertion pro;citoyen num erique;Cet enseignement fait partie des mission;Cet enseignement est utile aux apprentis;facilit e mise en oeuvre;objectifs faciles; a l aise avec les connaissances;enseignement code;d ecision enseignement;coll egues enseignent code;mat eriel pour enseigner;utilisation REL;forum;suivi formation en ligne;suivi MOOC;domaines MOOC;raison non inscription MOOC;ecriture prog;definition pens ee info;prog affichage;prog tri;d eplacement robot;usages num erique;mettre en ligne;niveau classe;ann ees exp;d epartement;genre;option info;bac;DATE_SAISIE;NUMERO
Oui en dehors de ma formation initiale;"formation avec des amis coll egues;formation en pr esentiel";Non mais il en existe dans mon d epartement;;;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Assez souvent;Jamais;Oui;Vous ne connaissez pas;;;Oui le plus long programme comportait moins de 50 lignes;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;CM1;10;49;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);28/04/2017 12:16;12
Oui en dehors de ma formation initiale;formation hybride;Non mais il en existe dans mon d epartement;;;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Oui depuis la rentr ee 2016;de vous-m eme;;Plutot oui;Assez souvent;Rarement;Oui;Oui;Enseignement;;Vous n avez fait que de la programmation en blocs;Non;Oui;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"CM1;Moyenne section;CP;CE2;CM2";10;49;une femme;Non;Baccalaur eat technologique;28/04/2017 17:50;13
Non;;;;;Plutot pas d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Assez souvent;Jamais;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CE1;CE2";13;49;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);28/04/2017 23:00;14
Non;;;;;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot oui;Assez souvent;Jamais;Non;;;;Non vous n avez jamais  ecrit de programme;;Non;Non;Non;"Achat en ligne;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CM1;CM2";25;49;;Non;Baccalaur eat g en eral S (anciennement C D ou E);29/04/2017 06:58;15
Non;;;;;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Pas d accord du tout;Plutot d accord;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Tout  a fait;Occasionnellement;Jamais;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;CE1;18;49;une femme;Non;Baccalaur eat g en eral L (anciennement A);29/04/2017 12:07;16
Non;;;;;Plutot d accord;Pas d accord du tout;Plutot d accord;Pas d accord du tout;Plutot d accord;Pas d accord du tout;Plutot d accord;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Assez souvent;Jamais;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Ecouter/t el echarger de la musique;Regarder des vid eos";;"CE1;CE2";20;49;une femme;Non;Baccalaur eat g en eral L (anciennement A);29/04/2017 18:05;17
Non;;;;;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Oui depuis la rentr ee 2016;de vous-m eme;Non;Tout  a fait;Assez souvent;Occasionnellement;Non;;;;Vous n avez fait que de la programmation en blocs;Oui;Non;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";"Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)";"CM1;CM2";30;;un homme;;Baccalaur eat g en eral S (anciennement C D ou E);30/04/2017 18:57;18
Oui en dehors de ma formation initiale;formation en pr esentiel;Oui;;;Tout  a fait d accord;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Oui depuis la rentr ee 2016;"de vous-m eme; a la suite d une sollicitation institutionnelle";Non;Tout  a fait;Assez souvent;Jamais;Non;;;;Vous n avez fait que de la programmation en blocs;Oui;Oui;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.);CP;33;49;une femme;Non;Baccalaur eat g en eral ES (anciennement B);01/05/2017 11:09;19
Non;;;;;Tout  a fait d accord;Plutot d accord;Tout  a fait d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot d accord;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Assez souvent;Jamais;Non;;;;Non vous n avez jamais  ecrit de programme;Oui;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;CP;19;49;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);02/05/2017 06:49;20
Oui en dehors de ma formation initiale;"formation hybride;formation avec des amis coll egues";Non il n en n existe pas dans mon d epartement;;;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot pas d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Oui avant la rentr ee 2016;de vous-m eme;Oui;Tout  a fait;Assez souvent;Occasionnellement;Oui;Non;;Ils ne correspondent pas  a votre mani ere d apprendre;Oui le plus long programme comportait plus de 500 lignes;Oui;Oui;Oui;Oui;"Achat en ligne;Ecouter/t el echarger de la musique";;CM1;37;49;un homme;Non;Baccalaur eat g en eral L (anciennement A);02/05/2017 15:38;21
