formation info;OuiInit;OuiHors;Non;type formation info;Famis;FPres;FL;FH;formation magistère;Capacité résolution problème;Insertion professionnelle;Citoyen numérique;Missions école;Transversalité;Facilité de mise en oeuvre;Clarté des objectifs;Aisance avec les connaissances;;décision enseignement;dvm;sollicitcollec;sollicitinstit;collègues enseignent code;matériels ressources pour enseigner;utilisation REL;forum;suivi formation en ligne;suivi MOOC;domaines MOOC;LLSH;Enseignement;Informatique;ST;Autre;raisons non inscription MOOC;ecriture prog;definition pensée info;prog affichage;prog tri;prog déplacement robot;usages numériques;AL;RS;Vidéos;Musique;mettre en ligne;Mettreenligne;Mettreenlignepro;Rien;niveau classe;PS;MS;GS;CP;CE1;CE2;CM1;CM2;années exp;département;genre;diplome option info;bac;enseignement code;label
OuiHors;FAUX;VRAI;FAUX;FH;FAUX;FAUX;FAUX;VRAI;Oui;4;3;3;4;4;3;3;3;;sollicitinstit;FAUX;FAUX;VRAI;Non;1;3;2;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;15;;;;;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;3;3;3;3;3;2;3;;dvm;VRAI;FAUX;FAUX;Non;3;3;2;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;1;Oui;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;30;;H;;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;4;3;3;3;2;3;;dvm;VRAI;FAUX;FAUX;Non;2;2;3;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;4;Oui;Oui;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;18;72;H;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;3;3;3;2;3;2;;sollicitinstit;FAUX;FAUX;VRAI;Non;1;3;3;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;1;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Rien;FAUX;FAUX;VRAI;CM1;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;32;17;H;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;2;3;3;3;3;3;;dvm;VRAI;FAUX;FAUX;Non;2;3;1;Oui;Oui;"LLSHS;ST";VRAI;FAUX;FAUX;VRAI;FAUX;;1;Oui;Oui;Non;Oui;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;CM2;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;37;24;;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;4;4;3;2;2;2;;dvm;VRAI;FAUX;FAUX;Non;2;0;0;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;Neconnaitpas;1;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;7;86;H;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;3;3;2;4;3;3;;dvm;VRAI;FAUX;FAUX;Oui;1;3;1;Oui;Oui;Enseignement;FAUX;VRAI;FAUX;FAUX;FAUX;;1;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;CM1;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;17;47;H;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;1;2;3;2;3;4;;dvm;VRAI;FAUX;FAUX;Non;2;2;3;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;1;Non;Oui;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenlignepro;VRAI;VRAI;FAUX;CM2;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;33;73;H;Non;S;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;1;1;2;2;4;2;4;;dvm;VRAI;FAUX;FAUX;Oui;3;3;3;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Non;Oui;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;"CM1;CE2";FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;4;26;;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;3;3;3;3;3;3;3;;sollicitinstit;FAUX;FAUX;VRAI;Non;3;3;2;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Non;Oui;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenlignepro;VRAI;VRAI;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;30;33;H;Oui;S;Oui;1
OuiHors;FAUX;VRAI;FAUX;FH;FAUX;FAUX;FAUX;VRAI;Nonexiste;3;4;4;3;3;2;2;2;;dvm;VRAI;FAUX;FAUX;;2;3;1;Oui;Oui;Enseignement;FAUX;VRAI;FAUX;FAUX;FAUX;;1;Non;Oui;Non;Oui;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;"CM1;MS;CP;CE2;CM2";FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;VRAI;VRAI;10;49;F;Non;Techno;Oui;1
OuiHors;FAUX;VRAI;FAUX;FPres;FAUX;VRAI;FAUX;FAUX;Oui;4;3;4;4;3;4;4;4;;"dvm;sollicitinstit";VRAI;FAUX;VRAI;Non;3;3;0;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;1;Oui;Oui;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenlignepro;VRAI;VRAI;FAUX;CP;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;33;49;F;Non;ES;Oui;1
OuiHors;FAUX;VRAI;FAUX;FL;FAUX;FAUX;VRAI;FAUX;Oui;3;3;4;4;4;3;2;2;;"sollicitcollec;sollicitinstit";FAUX;VRAI;VRAI;Oui;3;3;1;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;Neconnaitpas;2;Non;Oui;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;CM2;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;15;44;F;Non;L;Oui;1
OuiHors;FAUX;VRAI;FAUX;"Famis;FPres";VRAI;VRAI;FAUX;FAUX;Oui;3;2;3;4;3;1;2;1;;sollicitcollec;FAUX;VRAI;FAUX;Non;1;3;2;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;"CE1;CE2";FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;23;72;F;Non;L;Oui;1
OuiHors;FAUX;VRAI;FAUX;FPres;FAUX;VRAI;FAUX;FAUX;NonNexistePas;3;3;3;3;3;2;2;2;;"dvm;sollicitinstit";VRAI;FAUX;VRAI;Oui;1;2;0;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Non;Oui;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;CM2;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;20;72;F;Non;L;Oui;1
OuiHors;FAUX;VRAI;FAUX;FL;FAUX;FAUX;VRAI;FAUX;Oui;3;3;4;4;4;2;3;2;;sollicitinstit;FAUX;FAUX;VRAI;Oui;3;3;2;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;1;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;CE1;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;34;44;F;Non;ES;Oui;1
OuiHors;FAUX;VRAI;FAUX;"Famis;FPres";VRAI;VRAI;FAUX;FAUX;NonNexistePas;4;3;3;3;3;3;3;3;;sollicitcollec;FAUX;VRAI;FAUX;Oui;3;3;3;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;1;Non;Oui;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;CM1;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;12;44;F;Non;ES;Oui;1
OuiHors;FAUX;VRAI;FAUX;FPres;FAUX;VRAI;FAUX;FAUX;NonNexistePas;3;2;3;2;2;1;3;1;;sollicitcollec;FAUX;VRAI;FAUX;Oui;1;2;1;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Non;Non;Non;Oui;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;"CE1;CP;CE2";FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;FAUX;FAUX;10;85;F;Non;ES;Oui;1
OuiHors;FAUX;VRAI;FAUX;"Famis;FPres";VRAI;VRAI;FAUX;FAUX;Nonexiste;3;3;3;3;3;2;2;2;;sollicitcollec;FAUX;VRAI;FAUX;Oui;2;2;0;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Non;Non;Non;Oui;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;"CE1;CP";FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;33;40;F;Non;ES;Ouiavant;1
OuiHors;FAUX;VRAI;FAUX;FPres;FAUX;VRAI;FAUX;FAUX;Nonexiste;3;2;3;4;3;3;4;3;;sollicitcollec;FAUX;VRAI;FAUX;Oui;2;3;3;Oui;Oui;"Enseignement;ST";FAUX;VRAI;FAUX;VRAI;FAUX;;1;Oui;Non;Non;Oui;"AL;RS;Vidéos";VRAI;VRAI;VRAI;FAUX;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;"CE1;CP";FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;21;26;F;Non;L;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;3;2;2;3;3;2;;sollicitinstit;FAUX;FAUX;VRAI;Non;3;3;3;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;Neconnaitpas;2;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;31;49;F;Non;L;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;3;4;4;4;3;3;4;;dvm;VRAI;FAUX;FAUX;Oui;2;2;2;Oui;Oui;"LLSHS;Enseignement";VRAI;VRAI;FAUX;FAUX;FAUX;;4;Oui;Oui;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;37;44;F;Non;L;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;3;4;4;4;2;4;4;;sollicitcollec;FAUX;VRAI;FAUX;Oui;3;3;4;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;1;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;"GS;CM1;MS;CE2;CM2";FAUX;VRAI;VRAI;FAUX;FAUX;VRAI;VRAI;VRAI;10;72;F;Non;ES;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;2;3;2;3;3;2;2;;dvm;VRAI;FAUX;FAUX;Oui;1;5;1;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Non;Oui;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;13;72;F;Non;L;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;4;4;4;3;2;3;2;;"dvm;sollicitinstit";VRAI;FAUX;VRAI;Non;2;1;2;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;ManAppNotOK;2;Oui;Oui;Non;Oui;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;"CE1;CM1";FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;14;85;F;Non;ES;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;3;3;3;2;2;2;;dvm;VRAI;FAUX;FAUX;Non;1;3;1;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;ManAppNotOK;0;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;"CE1;CP";FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;20;16;F;Non;L;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;3;3;3;3;3;2;;dvm;VRAI;FAUX;FAUX;Oui;2;3;3;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;;1;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenlignepro;VRAI;VRAI;FAUX;"PS;GS;MS";VRAI;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;16;24;F;Non;L;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;3;3;3;2;2;3;;dvm;VRAI;FAUX;FAUX;Non;3;2;1;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;1;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;CE2;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;12;86;F;Non;L;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;3;3;3;3;3;3;;sollicitinstit;FAUX;FAUX;VRAI;Non;2;3;1;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;Pasinteressant;2;Non;Oui;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;CM2;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;25;44;F;Non;L;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;2;3;3;4;3;2;2;;dvm;VRAI;FAUX;FAUX;Non;2;5;3;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;ManAppNotOK;1;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Rien;FAUX;FAUX;VRAI;"PS;GS;MS";VRAI;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;32;33;F;Non;ES;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;2;3;3;3;3;3;2;2;;sollicitinstit;FAUX;FAUX;VRAI;Non;3;3;0;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;ManAppNotOK;0;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;"GS;CP";FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;13;40;F;Non;ES;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;3;3;3;4;2;1;2;;sollicitinstit;FAUX;FAUX;VRAI;Oui;2;3;0;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Non;Oui;Non;Oui;"AL;Vidéos";VRAI;FAUX;VRAI;FAUX;;FAUX;FAUX;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;26;64;F;Non;ES;Oui;1
