formation info;OuiInit;OuiHors;Non;type formation info;Famis;FPres;FL;FH;formation magistère;Capacité résolution problème;Insertion professionnelle;Citoyen numérique;Missions école;Transversalité;Facilité de mise en oeuvre;Clarté des objectifs;Aisance avec les connaissances;;décision enseignement;dvm;sollicitcollec;sollicitinstit;collègues enseignent code;matériels ressources pour enseigner;utilisation REL;forum;suivi formation en ligne;suivi MOOC;domaines MOOC;LLSH;Enseignement;Informatique;ST;Autre;raisons non inscription MOOC;ecriture prog;definition pensée info;prog affichage;prog tri;prog déplacement robot;usages numériques;AL;RS;Vidéos;Musique;mettre en ligne;Mettreenligne;Mettreenlignepro;Rien;niveau classe;PS;MS;GS;CP;CE1;CE2;CM1;CM2;années exp;département;genre;diplome option info;bac;enseignement code;label
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;2;3;2;3;3;2;2;;"dvm;sollicitinstit";VRAI;FAUX;VRAI;Non;1;0;0;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Non;Non;Non;Non;AL;VRAI;FAUX;FAUX;FAUX;;FAUX;FAUX;FAUX;"PS;GS";VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;13;24;F;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;3;3;2;4;2;2;2;;"dvm;sollicitinstit";VRAI;FAUX;VRAI;;1;3;3;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;Pasinteressant;3;Non;Oui;Non;Non;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;CE2;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;15;24;F;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;4;4;2;3;3;2;1;;dvm;VRAI;FAUX;FAUX;Oui;1;3;0;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Non;Non;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;CE2;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;20;33;F;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;1;3;3;3;3;3;4;;dvm;VRAI;FAUX;FAUX;Non;2;3;0;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Non;Non;Non;Non;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;CM1;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;14;47;F;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;1;3;3;2;2;1;2;1;;dvm;VRAI;FAUX;FAUX;Oui;1;2;0;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Non;Non;Non;Non;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;CE2;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;15;47;F;Non;S;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;3;3;4;2;2;2;;sollicitinstit;FAUX;FAUX;VRAI;Non;2;5;0;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Non;Non;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;25;26;F;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;2;3;2;2;2;3;3;2;;dvm;VRAI;FAUX;FAUX;Oui;2;3;3;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Non;Non;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;CE1;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;9;38;F;Non;S;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;1;3;3;3;3;1;1;1;;"dvm;sollicitinstit";VRAI;FAUX;VRAI;Non;1;2;0;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Oui;Non;Non;Non;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;26;73;F;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;2;2;2;2;1;1;1;;dvm;VRAI;FAUX;FAUX;Non;1;3;3;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Non;Non;Non;Non;"AL;RS;Vidéos";VRAI;VRAI;VRAI;FAUX;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;"CE1;CP;CM2";FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;VRAI;10;7;F;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;4;4;4;4;4;4;4;;dvm;VRAI;FAUX;FAUX;Oui;3;1;0;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;1;Non;Non;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Rien;FAUX;FAUX;VRAI;"GS;MS";FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;31;38;F;Non;S;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;1;3;3;3;3;1;2;1;;dvm;VRAI;FAUX;FAUX;Oui;2;1;0;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Non;Non;Non;Non;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;PS;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;35;38;F;Non;S;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;3;3;2;2;1;2;;dvm;VRAI;FAUX;FAUX;Non;2;2;1;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Oui;Oui;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Rien;FAUX;FAUX;VRAI;"CM1;CE2;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;12;73;F;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;3;3;3;3;2;2;2;;sollicitinstit;FAUX;FAUX;VRAI;Non;2;3;1;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;Neconnaitpas;2;Oui;Non;Non;Non;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;"GS;CP";FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;19;74;F;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;2;3;2;3;2;2;2;;sollicitcollec;FAUX;VRAI;FAUX;Oui;2;5;4;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Non;Non;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;CM1;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;17;72;F;Non;S;Oui;1
"OuiInit;OuiHors";VRAI;VRAI;FAUX;FPres;FAUX;VRAI;FAUX;FAUX;NonNexistePas;2;1;2;2;2;2;2;2;;sollicitinstit;FAUX;FAUX;VRAI;Non;2;3;1;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Oui;Oui;Non;Non;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;"CM1;CE2;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;5;85;F;Non;S;Oui;1
OuiInit;VRAI;FAUX;FAUX;FL;FAUX;FAUX;VRAI;FAUX;Nonexiste;3;3;4;3;3;1;2;2;;sollicitcollec;FAUX;VRAI;FAUX;Oui;1;2;1;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Non;Non;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;"CE1;CP";FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;4;64;F;Non;S;Ouiavant;1
OuiHors;FAUX;VRAI;FAUX;FL;FAUX;FAUX;VRAI;FAUX;Oui;3;3;3;3;3;3;3;3;;"dvm;sollicitinstit";VRAI;FAUX;VRAI;Non;1;3;0;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;ManAppNotOK;0;Non;Non;Non;Non;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;"PS;GS;CM1;MS;CM2";VRAI;VRAI;VRAI;FAUX;FAUX;FAUX;VRAI;VRAI;5;44;F;Non;S;Oui;1
OuiHors;FAUX;VRAI;FAUX;FPres;FAUX;VRAI;FAUX;FAUX;Nonexiste;3;2;2;3;2;3;3;2;;dvm;VRAI;FAUX;FAUX;Non;2;2;1;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Non;Non;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;3;40;F;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;2;2;2;1;4;2;3;;dvm;VRAI;FAUX;FAUX;Non;1;5;1;Oui;Oui;Enseignement;FAUX;VRAI;FAUX;FAUX;FAUX;;1;Non;Non;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;5;49;F;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;3;3;3;2;2;2;;dvm;VRAI;FAUX;FAUX;Non;2;3;2;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;1;Oui;Oui;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;"CM1;CE2;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;3;44;F;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;4;3;3;2;3;2;;sollicitinstit;FAUX;FAUX;VRAI;Non;2;3;2;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Non;Non;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;CP;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;2;44;F;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;2;3;3;3;3;3;3;;dvm;VRAI;FAUX;FAUX;Oui;1;3;1;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Non;Non;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Rien;FAUX;FAUX;VRAI;"CE1;CE2";FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;1;44;F;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;2;2;3;2;2;3;2;2;;dvm;VRAI;FAUX;FAUX;Non;2;3;2;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Non;Non;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Rien;FAUX;FAUX;VRAI;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;3;85;F;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;1;1;1;3;1;1;1;;dvm;VRAI;FAUX;FAUX;Non;2;3;0;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Oui;Non;Non;Non;"AL;RS;Vidéos";VRAI;VRAI;VRAI;FAUX;Rien;FAUX;FAUX;VRAI;"CE1;CM1;CE2;CM2";FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;4;73;F;Non;S;Oui;1
"OuiInit;OuiHors";VRAI;VRAI;FAUX;"FL;FPres";FAUX;VRAI;VRAI;FAUX;Oui;3;1;2;2;3;3;2;3;;dvm;VRAI;FAUX;FAUX;Non;1;3;1;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Oui;Non;Non;Non;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;CP;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;24;33;F;Oui;S;Oui;1
OuiInit;VRAI;FAUX;FAUX;FPres;FAUX;VRAI;FAUX;FAUX;NonNexistePas;3;2;3;2;2;2;1;3;;dvm;VRAI;FAUX;FAUX;Non;1;2;1;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;Neconnaitpas;3;Non;Non;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;9;44;F;Oui;S;Ouiavant;1
OuiInit;VRAI;FAUX;FAUX;FPres;FAUX;VRAI;FAUX;FAUX;NonNexistePas;4;3;4;3;4;2;2;4;;dvm;VRAI;FAUX;FAUX;Non;1;3;4;Oui;Oui;Enseignement;FAUX;VRAI;FAUX;FAUX;FAUX;;3;Oui;Non;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;"CE1;CM1;CM2";FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;VRAI;16;38;F;Oui;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;2;2;3;3;3;2;2;2;;dvm;VRAI;FAUX;FAUX;Oui;2;3;3;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Non;Non;Non;Non;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;CM1;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;6;44;F;Oui;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;3;3;3;3;2;2;2;;sollicitcollec;FAUX;VRAI;FAUX;Oui;3;3;1;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Oui;Non;Non;Non;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;"GS;CP";FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;17;86;F;Oui;S;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;3;3;2;2;2;1;;sollicitinstit;FAUX;FAUX;VRAI;Non;1;3;1;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;3;Non;Non;Non;Non;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;CE1;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;25;73;F;Oui;S;Ouiavant;1
OuiInit;VRAI;FAUX;FAUX;FPres;FAUX;VRAI;FAUX;FAUX;NonNexistePas;4;3;3;3;3;3;2;2;;dvm;VRAI;FAUX;FAUX;Non;1;2;0;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;Neconnaitpas;2;Non;Oui;Non;Non;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;"CM1;CE2";FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;1;44;F;Oui;S;Oui;1
OuiHors;FAUX;VRAI;FAUX;FH;FAUX;FAUX;FAUX;VRAI;Oui;4;4;4;4;4;4;4;4;;dvm;VRAI;FAUX;FAUX;Non;3;3;4;Oui;Oui;"Enseignement;Informatique;Autre;ST";FAUX;VRAI;VRAI;VRAI;VRAI;;4;Oui;Oui;Oui;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;CM2;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;36;49;H;Non;L;Ouiavant;1
OuiHors;FAUX;VRAI;FAUX;"FH;Famis";VRAI;FAUX;FAUX;VRAI;NonNexistePas;4;4;4;4;2;4;4;4;;dvm;VRAI;FAUX;FAUX;Oui;3;3;2;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;ManAppNotOK;4;Oui;Oui;Oui;Oui;"AL;Musique";VRAI;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;CM1;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;37;49;H;Non;L;Ouiavant;1
OuiHors;FAUX;VRAI;FAUX;"FL;MOOC";FAUX;FAUX;VRAI;FAUX;NonNexistePas;4;2;4;4;4;4;3;4;;dvm;VRAI;FAUX;FAUX;Non;3;2;1;Oui;Oui;Informatique;FAUX;FAUX;VRAI;FAUX;FAUX;;4;Oui;Oui;Oui;Oui;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;"PS;GS;MS";VRAI;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;15;33;H;Non;L;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;3;3;3;3;3;3;;dvm;VRAI;FAUX;FAUX;Non;2;3;3;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;;4;Non;Oui;Oui;Oui;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;"CP;CM2";FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;36;44;H;Non;Techno;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;3;2;3;2;2;2;;dvm;VRAI;FAUX;FAUX;Non;2;2;0;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;0;Non;Oui;Oui;Oui;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;CM2;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;30;17;H;Non;L;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;2;3;3;3;3;3;4;;dvm;VRAI;FAUX;FAUX;Oui;3;1;2;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;4;Oui;Oui;Oui;Oui;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;"CM1;CE2";FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;36;38;H;Non;L;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;3;3;3;3;4;4;4;;sollicitinstit;FAUX;FAUX;VRAI;Non;3;;;Oui;Oui;ST;FAUX;FAUX;FAUX;VRAI;FAUX;;2;Non;Oui;Oui;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Rien;FAUX;FAUX;VRAI;CM2;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;1;33;H;Non;ES;Oui;1
OuiInit;VRAI;FAUX;FAUX;"Famis;FPres";VRAI;VRAI;FAUX;FAUX;NonNexistePas;4;3;3;4;4;3;1;3;;dvm;VRAI;FAUX;FAUX;Non;2;2;2;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Oui;Oui;Oui;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;CM2;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;36;64;H;Non;S;Ouiavant;1
OuiHors;FAUX;VRAI;FAUX;"FL;MOOC;FPres";FAUX;VRAI;VRAI;FAUX;NonNexistePas;4;4;4;4;4;3;4;4;;dvm;VRAI;FAUX;FAUX;Non;1;5;1;Oui;Oui;"Enseignement;Informatique";FAUX;VRAI;VRAI;FAUX;FAUX;;4;Oui;Oui;Oui;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;13;53;H;Non;S;Ouiavant;1
OuiHors;FAUX;VRAI;FAUX;FPres;FAUX;VRAI;FAUX;FAUX;NonNexistePas;3;3;3;3;3;3;3;3;;"dvm;sollicitinstit";VRAI;FAUX;VRAI;Non;2;2;0;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;ManAppNotOK;3;Oui;Oui;Oui;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;"CM1;CE2;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;27;24;H;Non;S;Ouiavant;1
OuiHors;FAUX;VRAI;FAUX;FH;FAUX;FAUX;FAUX;VRAI;NonNexistePas;4;4;4;4;4;3;3;4;;sollicitcollec;FAUX;VRAI;FAUX;Non;2;2;3;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;4;Oui;Oui;Oui;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;"GS;CE2";FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;11;74;H;;S;Ouiavant;1
OuiHors;FAUX;VRAI;FAUX;FPres;FAUX;VRAI;FAUX;FAUX;NonNexistePas;4;4;4;3;3;3;3;4;;sollicitcollec;FAUX;VRAI;FAUX;Oui;3;2;1;Oui;Oui;Informatique;FAUX;FAUX;VRAI;FAUX;FAUX;;0;Oui;Oui;Oui;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;12;74;H;Non;S;Ouiavant;1
OuiHors;FAUX;VRAI;FAUX;"MOOC;Famis";VRAI;FAUX;FAUX;FAUX;NonNexistePas;3;3;3;3;3;2;2;3;;dvm;VRAI;FAUX;FAUX;Non;1;3;3;Oui;Oui;"LLSHS;Enseignement;Informatique";VRAI;VRAI;VRAI;FAUX;FAUX;;4;Oui;Oui;Oui;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenlignepro;VRAI;VRAI;FAUX;"CE1;CP";FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;25;7;H;Non;S;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;3;3;4;4;2;2;3;;dvm;VRAI;FAUX;FAUX;Oui;2;3;1;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;;4;Oui;Oui;Oui;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Rien;FAUX;FAUX;VRAI;"CE1;CE2";FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;7;44;H;Non;S;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;3;3;3;3;4;3;4;;dvm;VRAI;FAUX;FAUX;Non;3;3;2;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;ManAppNotOK;3;Oui;Oui;Oui;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Rien;FAUX;FAUX;VRAI;"CE1;CM1;CP;CE2;CM2";FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;VRAI;30;26;H;Non;S;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;3;4;4;4;3;2;3;1;;sollicitcollec;FAUX;VRAI;FAUX;Non;1;2;1;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;2;Oui;Oui;Oui;Oui;Vidéos;FAUX;FAUX;VRAI;FAUX;;FAUX;FAUX;FAUX;CM1;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;40;74;H;Non;S;Ouiavant;1
"OuiInit;OuiHors";VRAI;VRAI;FAUX;;FAUX;FAUX;FAUX;FAUX;NonNexistePas;3;4;3;3;3;3;3;3;;sollicitinstit;FAUX;FAUX;VRAI;Non;3;3;2;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;Neconnaitpas;4;Oui;Oui;Oui;Oui;"AL;Vidéos";VRAI;FAUX;VRAI;FAUX;;FAUX;FAUX;FAUX;"CM1;CE2";FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;3;33;H;Non;S;Oui;1
OuiHors;FAUX;VRAI;FAUX;FPres;FAUX;VRAI;FAUX;FAUX;Nonexiste;3;2;3;3;4;3;2;3;;dvm;VRAI;FAUX;FAUX;Non;2;5;1;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;3;Oui;Oui;Oui;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Rien;FAUX;FAUX;VRAI;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;2;38;H;Non;S;Oui;1
OuiHors;FAUX;VRAI;FAUX;Famis;VRAI;FAUX;FAUX;FAUX;NonNexistePas;2;1;3;1;2;3;2;4;;dvm;VRAI;FAUX;FAUX;Non;2;3;1;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;Pasinteressant;3;Non;Oui;Oui;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;4;79;H;Non;S;Ouiavant;1
